item,price
item_1,12.5
item_2,15.0
item_3,17.5
item_4,20.0
item_5,22.5
item_6,25.0
item_7,27.5
item_8,30.0
item_9,32.5
item_10,35.0
item_11,37.5
item_12,40.0
item_13,42.5
item_14,45.0
item_15,47.5
item_16,50.0
item_17,52.5
item_18,55.0
item_19,57.5
item_20,60.0
item_21,62.5
item_22,65.0
item_23,67.5
item_24,70.0
item_25,72.5
item_26,75.0
item_27,77.5
item_28,80.0
item_29,82.5
item_30,85.0
item_31,87.5
item_32,90.0
item_33,92.5
item_34,95.0
item_35,97.5
item_36,100.0
item_37,102.5
item_38,105.0
item_39,107.5
item_40,110.0
item_41,112.5
item_42,115.0
item_43,117.5
item_44,120.0
item_45,122.5
item_46,125.0
item_47,127.5
item_48,130.0
item_49,132.5
item_50,135.0
